stockid,stockname,date,BV
601998.SH,中信银行,20090331,9828000
601998.SH,中信银行,20081231,9534600
601998.SH,中信银行,20080930,9437700
601998.SH,中信银行,20080630,9019600
601998.SH,中信银行,20080331,8605900
601998.SH,中信银行,20071231,8414100
601998.SH,中信银行,20070930,8104100
601998.SH,中信银行,20070630,7897600
601998.SH,中信银行,20061231,3183000
601998.SH,中信银行,20051231,2371800
601998.SH,中信银行,20041231,872000
601998.SH,中信银行,20031231,1684492.8
601998.SH,中信银行,20021231,933688.2
