stockid,date,asset,equity,loan,deposit
601288,20121231,1324434176,75135400,643339904,1086293504
601288,20130331,1426773760,80031904,696816378.5,1152363892
601288,20130630,1422260096,79123104,694611968,1148718336
601288,20130930,1459941888,82877200,724322714.7,1184167935
601288,20131231,1456210176,84453696,722471296,1181141120
601288,20140331,1532211584,90514896,750560330.3,1226172648
601288,20140630,1600661248,90773696,784090688,1280950400
601288,20140930,1595924864,95869296,884665071.7,1432611879
601328,20011231,66138868,3242342,36662594.66,59370795.02
601328,20021231,73178200,864576.125,40564690.11,65689783.38
601328,20031231,92880976,1799926.125,51486481.06,83376349.7
601328,20041231,114173296,5165900,63289400,102489800
601328,20051231,142113200,8189600,75333000,121446496
601328,20061231,171626304,8858200,89736000,141356704
601328,20070331,181794400,9463300,96367613.87,140041695
601328,20070630,213304800,12117700,113071000,164315104
601328,20070930,221988096,12261600,116549701.2,164178937.7
601328,20071231,210362592,12879700,110446000,155580896
601328,20080331,226099904,13572300,115762920.4,168767800.4
601328,20080630,242636608,13539800,124229696,181111296
601328,20080930,249129504,13787900,123584558.9,173556875.1
601328,20081231,267825504,14564200,132859000,186581504
601328,20090331,303486784,15271600,159312588.9,217917875.8
601328,20090630,329412000,15594600,172921792,236533408
601328,20090930,330089792,15741700,183473442.4,236614913.3
601328,20091231,330913696,16442500,183931392,237205504
601328,20100331,353278208,17542900,197204509.2,257431853.3
601328,20100630,370927904,19715000,207056800,270293088
601328,20100930,380270496,21595300,215264417.1,275979238.6
601328,20101231,395159296,22365700,223692704,286784704
601328,20110331,412867296,23715600,231047518.5,299887177.5
601328,20110630,434771712,24841000,243305600,315797504
601328,20110930,436229696,25862400,242348421.7,310602544.6
601328,20111231,461117696,27278800,256175008,328323200
601328,20120331,488283392,28906700,265921743.7,340449432.3
601328,20120630,515220800,29905400,280592000,359231200
601328,20120930,517334912,36774200,289139210.6,365768859.1
601328,20121231,527337888,38144700,294729888,372841216
601328,20130331,563637824,40022700,315593795.1,389714975.3
601328,20130630,571760192,39815800,320141696,395331008
601328,20130930,576803968,41055500,316066758.6,402328453.7
601328,20131231,596093696,42148400,326636800,415783296
601328,20140331,597936000,44173600,326733766.4,416382359.9
601328,20140630,628393600,44254600,343376896,437592000
601328,20140930,621271808,45788000,347914816,411654592
601398,20031231,456017408,-53548400,340227712,470686112
601398,20041231,507287392,-50449500,370774784,517628192
601398,20051231,645723904,26098400,328955296,573686592
601398,20060630,705547712,33031700,346108000,611903808
601398,20061231,750911808,47143300,363117088,635142272
601398,20070331,788080576,48995300,371606167.3,635122324.5
601398,20070630,830398784,50331700,391560608,669227008
601398,20070930,859775616,52603700,403264271.7,682967574.8
601398,20071231,868428800,54425200,407322912,689841280
601398,20080331,914138688,57093100,423555804.6,733137281.2
601398,20080630,939996032,55434200,435536512,753874816
601398,20080930,938434688,58581900,439707925,790883438.4
601398,20081231,975765376,60713800,457199392,822344576
601398,20090331,1097896576,64058500,521962037.8,915286183.3
601398,20090630,1143508608,62092000,543646912,953311680
601398,20090930,1167013376,65090700,567276432.7,967599407.5
601398,20091231,1178505344,67893400,572862592,977127680
601398,20100331,1255338496,72420096,615483648.4,1049260507
601398,20100630,1296038144,70960000,635438400,1083278848
601398,20100930,1341788672,75950496,676995366.2,1111182263
601398,20101231,1345862144,82165696,679050624,1114555648
601398,20110331,1438999552,87222496,708488605.9,1163786948
601398,20110630,1489604864,85961504,733404032,1204713856
601398,20110930,1512700160,90186600,761282339.8,1198404449
601398,20111231,1547686784,95782304,778889728,1226121856
601398,20120331,1643119616,102294304,810733932.3,1268507802
601398,20120630,1707304960,101744800,842403712,1318059648
601398,20120930,1737115008,107527400,871784097.3,1350986754
601398,20121231,1754221696,112845904,880369216,1364290944
601398,20130331,1835727744,119781504,925311889.5,1422473585
601398,20130630,1872335360,117509296,943764224,1450840192
601398,20130930,1874254848,123538896,983047922.9,1448541708
601398,20131231,1891775232,127846304,992237376,1462082560
601398,20140331,1973468288,136292000,1034776621,1528755742
