stockid,stockname,date,asset,equity
601288.SH,农业银行,20110331,1095992800,57657000
601288.SH,农业银行,20101231,1033740600,54223600
601288.SH,农业银行,20100930,1011712200,52827800
601288.SH,农业银行,20100630,969596700,35441700
601288.SH,农业银行,20091231,888258800,34292500
601288.SH,农业银行,20081231,701435100,29054100
601288.SH,农业银行,20071231,530550600,-72760500
601288.SH,农业银行,20061231,534394300,8400200
601288.SH,农业银行,20051231,477101900,7960700
601288.SH,农业银行,20041231,401376900,7806300
601288.SH,农业银行,20031231,349401600,13796900
601288.SH,农业银行,20021231,297656600,13604000
601328.SH,交通银行,20140930,621271800,45788000
601328.SH,交通银行,20140630,628393600,44254600
601328.SH,交通银行,20140331,597936000,44173600
601328.SH,交通银行,20131231,596093700,42148400
601328.SH,交通银行,20130930,576804000,41055500
601328.SH,交通银行,20130630,571760200,39815800
601328.SH,交通银行,20130331,563637800,40022700
601328.SH,交通银行,20121231,527337900,38144700
601328.SH,交通银行,20120930,517334900,36774200
601328.SH,交通银行,20120630,515220800,29905400
601328.SH,交通银行,20120331,488283400,28906700
601328.SH,交通银行,20111231,461117700,27278800
601328.SH,交通银行,20110930,436229700,25862400
601328.SH,交通银行,20110630,434771700,24841000
601328.SH,交通银行,20110331,412867300,23715600
601328.SH,交通银行,20101231,395159300,22365700
601328.SH,交通银行,20100930,380270500,21595300
601328.SH,交通银行,20100630,370927900,19715000
601328.SH,交通银行,20100331,353278200,17542900
601328.SH,交通银行,20091231,330913700,16442500
601328.SH,交通银行,20090930,330089800,15741700
601328.SH,交通银行,20090630,329412000,15594600
601328.SH,交通银行,20090331,303486800,15271600
601328.SH,交通银行,20081231,267825500,14564200
601328.SH,交通银行,20080930,249129500,13787900
601328.SH,交通银行,20080630,242636600,13539800
601328.SH,交通银行,20080331,226099900,13572300
601328.SH,交通银行,20071231,210362600,12879700
601328.SH,交通银行,20070930,221988100,12261600
601328.SH,交通银行,20070630,213304800,12117700
601328.SH,交通银行,20070331,181794400,9463300
601328.SH,交通银行,20061231,171626300,8858200
601328.SH,交通银行,20051231,142113200,8189600
601328.SH,交通银行,20041231,114173300,5165900
601328.SH,交通银行,20031231,92880975.2,1799926.1
601328.SH,交通银行,20021231,73178201.2,864576.1
601328.SH,交通银行,20011231,66138868.28,3242342
601398.SH,工商银行,20140930,2015095600,143237500
601398.SH,工商银行,20140630,2030367700,135950300
601398.SH,工商银行,20140331,1973468300,136292000
601398.SH,工商银行,20131231,1891775200,127846300
601398.SH,工商银行,20130930,1874254800,123538900
601398.SH,工商银行,20130630,1872335300,117509300
601398.SH,工商银行,20130331,1835727800,119781500
601398.SH,工商银行,20121231,1754221700,112845900
