stockid,stockname,date,asset,asset,equity,eta
600036.SH,招商银行,20020630,31313709.8,17.25956657,1610114.3,0.051418829
600036.SH,招商银行,20020331,31772662.3,17.2741168,1552354.4,0.048858178
600036.SH,招商银行,20011231,26631715.5,17.09761338,511643.6,0.019211815
600036.SH,招商银行,20001231,21950798.8,16.90431409,368531.6,0.016788984
600036.SH,招商银行,19991231,15660639.6,16.56666109,288150.4,0.018399657
601009.SH,南京银行,20140930,54628717.21,17.81607026,3097684.4,0.056704323
601009.SH,南京银行,20140630,51373287.6,17.7546289,2947615.3,0.057376419
601009.SH,南京银行,20140331,50416418.61,17.73582745,2873407.37,0.056993484
601009.SH,南京银行,20131231,43405729.3,17.586102,2685613.4,0.061872325
601009.SH,南京银行,20130930,42609970.92,17.56759884,2664350.56,0.062528805
601009.SH,南京银行,20130630,41002065.3,17.529133,2606178.5,0.063562127
601009.SH,南京银行,20130331,39051867.63,17.48040126,2614031.37,0.066937423
601009.SH,南京银行,20121231,34379215.4,17.35296274,2481075.4,0.072167889
601009.SH,南京银行,20120930,33258968.69,17.31983502,2383706.52,0.071671089
601009.SH,南京银行,20120630,33428079.8,17.32490682,2330506.8,0.069717041
601009.SH,南京银行,20120331,30788547.41,17.24265334,2281306.53,0.074095945
601009.SH,南京银行,20111231,28179169.4,17.15409359,2180426.9,0.077377259
601009.SH,南京银行,20110930,26321439.37,17.08589435,2056929.38,0.078146539
601009.SH,南京银行,20110630,26373923,17.08788631,1990296.3,0.075464553
601009.SH,南京银行,20110331,24088841.06,16.99725926,1974934.65,0.081985457
601009.SH,南京银行,20101231,22149260.3,16.91331466,1897039.9,0.085648002
601009.SH,南京银行,20100930,19856917.23,16.80406298,1385141.24,0.069756107
601009.SH,南京银行,20100630,19615723.43,16.79184202,1322486.64,0.067419723
601009.SH,南京银行,20100331,17371952.84,16.67036756,1282982.43,0.073853668
601009.SH,南京银行,20091231,14956581.81,16.52066202,1216820.83,0.08135688
601009.SH,南京银行,20090930,14656643.46,16.50040427,1185232.49,0.08086657
601009.SH,南京银行,20090630,12969998.75,16.37814946,1148082.88,0.088518349
601009.SH,南京银行,20090331,11233103.35,16.23437563,1171035.43,0.104248612
601009.SH,南京银行,20081231,9370607.14,16.05308845,1134559.46,0.121076409
601009.SH,南京银行,20080930,9496071.71,16.06638877,1075130,0.113218395
601009.SH,南京银行,20080630,9004577.22,16.01324359,1018794.74,0.113141874
601009.SH,南京银行,20080331,8713707.47,15.98040791,1043345.62,0.119736131
601009.SH,南京银行,20071231,7606371.18,15.84449677,994246.31,0.130712305
601009.SH,南京银行,20070930,8059095.13,15.90231184,973580.53,0.120805191
601009.SH,南京银行,20070630,7546469.18,15.83659035,273511.04,0.036243577
601009.SH,南京银行,20061231,5796730.27,15.57280457,261113.58,0.045044977
601009.SH,南京银行,20051231,4859326.62,15.39641043,210427.5,0.043303839
601009.SH,南京银行,20041231,3827165.79,15.15763508,166502.6,0.043505458
601009.SH,南京银行,20031231,2958244.32,14.90010652,131761.78,0.044540533
601009.SH,南京银行,20021231,2625857.85,14.7809182,123258.34,0.046940218
601166.SH,兴业银行,20140930,399557700,19.80586874,23691600,0.059294565
601166.SH,兴业银行,20140630,394820000,19.79394052,22325600,0.056546274
